FA count,Builder,Subdivision
1.0,Meritage Homes of AZ Inc.,312-15-052
8.0,DR Horton Inc.,Saguaro Bloom
18.0,Saguaro Desert Sales LLC,Saguaro Un #3
0.0,No Information Available,No Information Available
0.0,Hall Bros,Saguaro Un #3
4.0,Calatlantic HMs of Arizona In,Fincher Fields At Cooley Station Amd
0.0,CalAtlantic Homes of Arizona Inc.,Fincher Fields At Cooley Station Amd
5.0,Dr Horton Inc.,Mission Royale Ph 03 Prcl 01
0.0,No Information Available,Las Estrellas Unit 6 South
0.0,No Information Available,10 East
2.0,No Information Available,Quail Run
2.0,TM Homes of Arizona Inc.,Adora Trails Prcl 7
1.0,Yumas Sunset Mountain Sales LLC,Sunset Mountain Villas
5.0,KB Home Sales-Tucson Inc,Gladden Farms
0.0,No Information Available,Red Rock Village 2
5.0,Yuma Desert Sands LLC,Desert Sands Un #1
0.0,No Information Available,Sun City Festival Prcl Hh1-1
